Name,Home Runs,Year,Team,League
Barry Bonds,73,2001,San Francisco Giants,NL
Mark McGwire,70,1998,St. Louis Cardinals,NL
Sammy Sosa,66,1998,Chicago Cubs,NL
Mark McGwire,65,1999,St. Louis Cardinals,NL
Sammy Sosa,64,2001,Chicago Cubs,NL
Sammy Sosa,63,1999,Chicago Cubs,NL
Roger Maris,61,1961,New York Yankees,AL
Babe Ruth,60,1927,New York Yankees,AL
Babe Ruth,59,1921,New York Yankees,AL
Jimmie Foxx,58,1932,Philadelphia Athletics,AL
Hank Greenberg,58,1938,Detroit Tigers,AL
Ryan Howard,58,2006,Philadelphia Phillies,NL
Mark McGwire,58,1997,Oakland Athletics/St. Louis Cardinals,AL/NL
Luis Gonzalez,57,2001,Arizona Diamondbacks,NL
Alex Rodriguez,57,2002,Texas Rangers,AL
"Ken Griffey, Jr.",56,1998,Seattle Mariners,AL
"Ken Griffey, Jr.",56,1997,Seattle Mariners,AL
Hack Wilson,56,1930,Chicago Cubs,NL
Jose Bautista,54,2010,Toronto Blue Jays,AL
Ralph Kiner,54,1949,Pittsburgh Pirates,NL
Mickey Mantle,54,1961,New York Yankees,AL
David Ortiz,54,2006,Boston Red Sox,AL
Alex Rodriguez,54,2007,New York Yankees,AL
Babe Ruth,54,1928,New York Yankees,AL
Babe Ruth,54,1920,New York Yankees,AL
Chris Davis,53,2013,Baltimore Orioles,AL
George Foster,52,1977,Cincinnati Reds,NL
Mickey Mantle,52,1956,New York Yankees,AL
Willie Mays,52,1965,San Francisco Giants,NL
Mark McGwire,52,1996,Oakland Athletics,AL
Alex Rodriguez,52,2001,Texas Rangers,AL
Jim Thome,52,2002,Cleveland Indians,AL
Cecil Fielder,51,1990,Detroit Tigers,AL
Andruw Jones,51,2005,Atlanta Braves,NL
Ralph Kiner,51,1947,Pittsburgh Pirates,NL
Willie Mays,51,1955,New York Giants,NL
Johnny Mize,51,1947,New York Giants,NL
Brady Anderson,50,1996,Baltimore Orioles,AL
